PolicyNumber,ProductCode,Sex,IssueAge,IssueDate, FaceAmount ,AnnualPremium
P100001,TRM20,F,67,7/15/15," 589,000 ",12369
P100002,TRM20,F,38,11/5/11," 696,000 ",8352
P100003,TRM10,F,58,5/22/17," 1,733,000 ",39859
P100004,TRM20,M,53,12/17/01," 1,885,000 ",35815
P100005,UL,F,42,4/24/24," 1,493,000 ",17916
P100006,WL,M,70,1/25/96," 1,821,000 ",23673
P100007,TRM10,F,52,7/19/19," 848,000 ",18656
P100008,UL,F,42,5/19/01," 1,455,000 ",16005
P100009,TRM20,F,59,12/21/13," 63,000 ",1197
P100010,WL,F,19,3/6/21," 702,000 ",7722
P100011,WL,M,51,8/28/00," 1,763,000 ",15867
P100012,TRM20,F,51,8/10/22," 806,000 ",18538
P100013,TRM30,M,31,7/24/21," 184,000 ",2944
P100014,UL,M,28,12/23/13," 1,415,000 ",22640
P100015,UL,F,59,5/26/98," 678,000 ",4746
P100016,TRM20,F,42,11/7/04," 1,296,000 ",29808
P100017,WL,F,71,3/25/10," 494,000 ",3952
P100018,TRM20,F,45,3/2/21," 1,397,000 ",32131
P100019,TRM30,F,50,2/23/03," 289,000 ",6936
P100020,UL,F,22,3/15/07," 1,953,000 ",33201
P100021,WL,F,63,11/14/07," 1,482,000 ",25194
P100022,TRM20,M,36,10/28/15," 670,000 ",12730
P100023,WL,F,66,4/3/03," 364,000 ",5824
P100024,WL,F,58,9/14/07," 423,000 ",5499
P100025,WL,F,22,4/2/08," 609,000 ",8526
P100026,TRM30,M,74,2/15/17," 1,276,000 ",19140
P100027,UL,F,59,8/26/95," 1,608,000 ",19296
P100028,WL,F,56,10/5/22," 823,000 ",15637
P100029,TRM10,F,58,6/26/16," 590,000 ",5310
P100030,TRM10,F,41,12/12/06," 63,000 ",1449
P100031,UL,F,53,7/23/24," 1,210,000 ",22990
P100032,UL,F,64,7/3/99," 670,000 ",14070
P100033,WL,F,41,10/23/11," 792,000 ",7920
P100034,TRM30,M,41,12/26/22," 1,941,000 ",15528
P100035,TRM20,F,31,4/7/02," 1,233,000 ",29592
P100036,WL,F,36,7/19/03," 1,803,000 ",7212
P100037,WL,F,30,8/4/14," 123,000 ",492
P100038,TRM30,F,28,7/18/20," 182,000 ",4550
